d,w
85,35
85,293
85,41
85,49
85,14
85,38
85,66
85,93
85,88
85,87
85,85
85,83
85,82
85,78
85,77
85,76
85,73
85,72
85,94
85,71
85,31
85,30
85,52
85,89
85,91
85,96
85,64
85,164
85,170
85,92
85,32
85,79
85,292
85,16
85,22
85,69
85,23
85,98
85,25
85,15
85,26
85,27
85,55
85,207
85,202
85,203
85,218
85,219
85,34
85,70
85,75
85,204
85,208
85,59
85,145
85,257
85,233
85,235
85,236
85,21
85,19
85,234
85,17
85,18
85,172
85,122
85,95
85,100
85,33
85,97
85,81
85,80
85,86
85,58
85,90
85,84
86,16
86,35
86,54
86,51
86,46
86,48
86,49
86,45
86,53
86,24
86,52
86,55
86,34
86,41
86,42
86,44
86,37
86,98
86,100
87,45
87,208
87,207
87,13
87,172
87,46
87,210
87,30
87,31
87,32
87,71
87,72
87,73
87,76
87,78
87,82
87,83
87,85
87,87
87,88
87,89
87,96
87,170
87,164
87,42
87,75
87,17
87,16
87,15
87,14
87,53
87,52
87,50
87,49
87,48
87,34
87,66
87,216
87,95
87,84
87,215
87,81
87,64
87,127
87,126
87,23
87,41
87,35
87,51
87,18
87,65
87,19
87,293
87,292
87,70
87,55
87,98
87,22
87,21
87,20
88,142
88,33
88,15
88,68
88,70
88,16
88,19
88,137
88,102
88,103
88,104
88,35
88,109
88,45
88,46
88,117
88,51
88,248
88,18
88,17
89,46
89,45
89,158
89,2
89,229
89,116
89,4
89,146
89,51
89,5
89,54
89,156
90,44
90,26
90,25
90,24
90,22
90,21
90,18
90,16
90,100
90,34
90,33
90,19
90,245
91,98
91,25
91,26
91,27
91,31
91,30
91,32
91,150
91,55
91,24
91,33
91,21
91,22
91,44
91,42
91,34
91,100
91,18
91,19
92,293
92,45
92,46
92,51
92,35
92,44
92,15
92,68
92,207
92,16
92,21
92,19
92,18
92,99
92,39
92,124
92,41
92,55
92,25
92,22
92,24
92,34
93,44
93,206
93,54
93,15
93,68
93,98
93,25
93,55
93,30
93,124
93,32
93,276
93,33
93,34
93,39
93,134
93,58
93,19
93,23
93,104
93,109
93,71
93,144
93,45
93,278
93,46
93,51
93,100
93,35
93,99
93,16
93,18
93,21
93,22
93,24
93,279
93,14
93,125
93,42
93,281
94,22
94,62
94,14
94,166
94,171
94,173
94,66
94,33
94,12
94,58
94,16
94,17
94,18
94,21
94,24
94,132
